Fs_[Hz]   	1000,00000000
Tempo[s]  	Eixo_x 	Eixo_y 	Eixo_z 	Sinal_4
5,40400000	0,06769141	-0,05348257	-0,03523259	0,00000000
5,40500000	0,04248716	-0,05348257	0,04071045	0,00000000
5,40600000	-0,00876148	-0,00581332	0,02751379	0,00000000
5,40700000	0,10309738	0,01627731	-0,00572685	0,00000000
5,40800000	-0,03564601	0,08952518	-0,03560608	0,00000000
5,40900000	-0,10705805	0,11484543	0,00821679	0,00000000
5,41000000	0,08485431	0,07712342	0,03946549	0,00000000
5,41100000	-0,06265056	-0,10838618	0,01307216	0,00000000
5,41200000	0,09205552	-0,12673045	-0,02203593	0,00000000
5,41300000	-0,09505603	-0,08655392	-0,02577084	0,00000000
5,41400000	0,26344442	0,01343524	0,09063367	0,00000000
5,41500000	-0,03864652	0,10166857	0,04394737	0,00000000
5,41600000	-0,12866169	0,15631380	-0,05390711	0,00000000
5,41700000	-0,11593955	0,01188502	-0,04369838	0,00000000
5,41800000	0,17871013	-0,05503279	0,04867825	0,00000000
5,41900000	-0,11353914	-0,22568613	0,00834129	0,00000000
5,42000000	-0,04140698	-0,12052957	-0,01917251	0,00000000
5,42100000	0,14786493	0,08577881	-0,04046146	0,00000000
5,42200000	0,05712963	0,15695973	0,07034069	0,00000000
5,42300000	0,01704287	0,19455255	0,05801551	0,00000000
5,42400000	-0,02796472	-0,03591342	-0,05328463	0,00000000
5,42500000	-0,04956836	-0,05981264	-0,04469435	0,00000000
5,42600000	-0,22623815	-0,16083528	0,03784703	0,00000000
5,42700000	0,09121538	-0,02325329	0,04344938	0,00000000
5,42800000	0,04908828	-0,05257828	0,01406814	0,00000000
5,42900000	0,18063046	0,17762932	-0,04917624	0,00000000
5,43000000	-0,18879183	0,07247276	0,01606009	0,00000000
5,43100000	0,10045694	-0,06833885	0,05278664	0,00000000
5,43200000	0,14198394	-0,09701791	-0,00622484	0,00000000
5,43300000	-0,36750197	-0,08797496	-0,05975846	0,00000000
